Trial,Reaction_Time,Response,Coherence,Direction,Key_Pressed,Radius,Theta,X,Y
123,5.155762,False,0.33,down,RightArrow,1.678857,95.63863,-0.1649541,1.670734
124,5.097107,True,0.33,up,UpArrow,0.02412891,197.417,-0.02302264,-0.007222356
125,0.7560425,True,0.33,right,RightArrow,0.4356084,16.00103,0.4187315,0.1200775
126,0.6165161,True,0.33,right,RightArrow,0.2829719,51.4346,0.1764068,0.2212549
127,0.6328735,True,0.33,left,LeftArrow,1.160201,348.7647,1.137966,-0.2260525
128,1.445618,True,0.33,right,RightArrow,0.960228,246.6598,-0.380433,-0.881651
129,3.145325,True,0.33,right,RightArrow,3.120253,45.19273,2.198918,2.213761
130,1.92395,False,0.33,down,RightArrow,2.65275,210.0366,-2.296503,-1.327841
131,12.02234,False,0.33,down,UpArrow,0.129374,288.0025,0.03998413,-0.1230403
132,1.031616,False,0.33,left,RightArrow,3.842383,119.6339,-1.899889,3.33981
133,0.9451294,True,0.33,up,UpArrow,2.643019,42.55348,1.94697,1.787416
134,1.390076,True,0.33,down,DownArrow,3.43544,194.7616,-3.32205,-0.875343
135,4.866638,True,0.33,up,UpArrow,2.551353,263.1783,-0.3030518,-2.53329
136,2.856018,True,0.33,down,DownArrow,3.284606,354.6687,3.270396,-0.305188
137,1.319824,True,0.33,right,RightArrow,2.927911,110.8097,-1.040184,2.736911
138,2.643311,True,0.33,up,UpArrow,1.472779,116.0326,-0.6463768,1.323357
139,1.157288,False,0.33,left,DownArrow,0.7551928,1.168499,0.7550357,0.01540045
140,5.556396,True,0.33,up,UpArrow,2.560194,79.60852,0.4617895,2.518202
141,1.377563,False,0.33,up,RightArrow,2.653611,219.9083,-2.035511,-1.702453
142,3.012817,True,0.33,down,DownArrow,2.16205,89.05238,0.03575663,2.161754
143,7.911377,True,0.33,up,UpArrow,3.463826,214.8929,-2.841107,-1.981464
144,0.8007813,True,0.33,up,UpArrow,3.749864,192.5363,-3.660462,-0.8139392
145,2.456848,False,0.33,up,LeftArrow,0.3482766,288.5293,0.1106786,-0.3302224
146,0.6219482,True,0.33,up,UpArrow,2.793337,336.9583,2.570485,-1.093316
147,1.044373,False,0.33,down,UpArrow,3.514169,28.74251,3.081187,1.689873
148,3.857117,False,0.33,down,RightArrow,1.115206,355.5565,1.111854,-0.0864026
149,5.228333,False,0.33,down,RightArrow,3.275908,87.23226,0.1581851,3.272087
150,2.811646,True,0.33,down,DownArrow,2.823531,229.9766,-1.815814,-2.162209
151,4.72345,True,0.33,up,UpArrow,2.068832,105.4825,-0.5522609,1.993759
152,2.770996,True,0.33,right,RightArrow,2.239469,131.6215,-1.48747,1.674112
153,9.033142,False,0.33,down,RightArrow,1.277304,167.4039,-1.246562,0.2785506
154,3.185486,True,0.33,left,LeftArrow,3.687353,114.5138,-1.529927,3.35498
155,1.843384,True,0.33,right,RightArrow,0.2294483,204.1613,-0.2093479,-0.09391484
156,1.633789,True,0.33,up,UpArrow,1.114753,99.52264,-0.1844216,1.099392
157,1.766663,False,0.33,down,UpArrow,0.4597268,207.993,-0.4059412,-0.2157788
